benchmark,ci
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.50&size=750000,"(0.9999849797642307, 1.0067948458657725)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinTest.serial_lazy_streams_ec#,"(0.972759156460369, 0.9794951603749047)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.EcImmutableMapGetTest.get#size=9250000,"(0.9997790828178786, 1.004592565894349)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.hppc#isPresized=false&loadFactor=0.75f&size=5000000,"(0.9830853454306941, 0.9859704731823894)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.ec#isPresized=false&loadFactor=0.80f&size=3000000,"(0.99376198247088, 0.9991865965654649)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.TroveMapPutTest.trove#isPresized=true&loadFactor=0.55&size=4000000,"(0.9979626149416385, 1.0104825843457994)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.ec#isPresized=true&loadFactor=0.80f&size=9750000,"(0.9857286151466178, 1.0040831887581114)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.CollectIfTest.parallel_lazy_jdk#,"(1.0931467282940335, 1.150268042911089)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.KolobokeMutableMapGetTest.get#size=5500000,"(1.0794296756358173, 1.0917844645255486)"
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.ec#isPresized=true&loadFactor=0.75f&size=750000,"(0.9999214051468207, 1.0079792400891945)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceSame#matches=3&size=100,"(0.9489681352411204, 0.9763329827225862)"
eclipse__jetty.project#org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testHashMapAndLinkedList#length=11&lookups=30&mostly=hits&size=12,"(1.0665336901430442, 1.141125066525647)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceGrowth#matches=3&size=3,"(0.7666111776176867, 0.9715965543031296)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceReduce#matches=0&size=3,"(1.009699683337489, 1.0173648113019091)"
eclipse__jetty.project#org.eclipse.jetty.server.jmh.ListVsMapBenchmark.testArrayList#length=11&lookups=10&mostly=misses&size=12,"(0.9480325276517736, 0.9905478924675005)"
eclipse__jetty.project#org.eclipse.jetty.util.jmh.DateCacheBenchmark.testDateCacheTimestamp#,"(1.0962278932791298, 1.248786394511158)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJavaStringReplaceReduce#matches=1&size=3,"(0.9365383070318164, 1.2194973010488515)"
eclipse__jetty.project#org.eclipse.jetty.util.jmh.DateCacheNoTickBenchmark.testDateCacheFormatNow#,"(0.9210361462643404, 1.0646844080603557)"
eclipse__jetty.project#org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceReduce#matches=1&size=100,"(1.0292698392475887, 1.119066689874439)"
eclipse__jetty.project#org.eclipse.jetty.util.thread.jmh.ThreadPoolBenchmark.testFew#size=200&type=QTP,"(1.061998612209334, 1.0787577735808103)"
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions#param=simple::152,"(0.8379795052675946, 1.236319356559921)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=10&valueType=Boolean,"(0.9936701971472104, 1.0279106354426284)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=100000&valueType=Boolean,"(0.9829242983777265, 1.007655541431573)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=100&keyType=String&n_entries=1000&valueType=String,"(0.8554503114392631, 0.8679363744235534)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=None&array_values_length=1&keyType=String&n_entries=100000&valueType=String,"(0.9571252556563568, 0.9755664754485098)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=10000&keyType=String&n_entries=10&valueType=String,"(0.9875305358281388, 1.0195661550978141)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=100&keyType=String&n_entries=10&valueType=Boolean,"(0.9791911761794929, 1.0087503725559372)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=1000&valueType=Boolean,"(1.0363375012484584, 1.0673533118445486)"
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=10000&keyType=String&n_entries=1000&valueType=Boolean,"(0.9220162451571493, 0.9402782164743061)"
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.clear#size=100,"(0.9858555415351374, 0.9896306283099721)"
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_java_HashSet#size=10000,"(0.988205612743537, 1.0416423331148683)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.updateReplace#depth=16,"(0.9900307698820012, 1.0734475315089396)"
hazelcast__hazelcast#com.hazelcast.wan.impl.merkletree.ArrayMerkleTreeBenchmark.clear_271#depth=10,"(0.5906153702450662, 0.5993572792183032)"
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_hz_OAHashSet#size=10,"(0.9829607463097119, 1.0585536636981319)"
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_hz_OAHashSet#size=100000,"(0.9992601868328658, 1.1039960988698703)"
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_java_HashSet#size=100,"(1.0066208127699492, 1.0365574576784984)"
imglib__imglib2#net.imglib2.converter.RealTypeConvertersBenchmark.converter#srcType=DoubleType&targetType=DoubleType,"(1.0295076061527382, 1.0337199986893848)"
imglib__imglib2#net.imglib2.loops.SyncedPositionablesBenchmark.benchmark2#,"(1.0359249735753762, 1.0398088700042034)"
imglib__imglib2#net.imglib2.util.FlatCollectionsBenchmark.benchmarkSumList#,"(0.99156950130867, 1.0045856722420168)"
imglib__imglib2#net.imglib2.loops.LoopBuilderVsCursorsBenchmark.flatCopy#inputImage=ArrayImg&outputImage=ArrayImg,"(1.0071682937995496, 1.0115934791380463)"
jdbi__jdbi#org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther#,"(0.9321582822024304, 0.9357079338310041)"
jdbi__jdbi#org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy#,"(1.1632199562916736, 1.1709736677178144)"
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentInsertGeneratedKeyBindBean#,"(1.016184927897471, 1.0505076722342266)"
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.sqlobjectSelectOne#,"(1.0589833986866168, 1.0814890812994333)"
jdbi__jdbi#org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean#,"(0.5772972870667472, 1.656592236103743)"
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.attach#,"(0.9072632613765701, 0.9718839392300973)"
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentSelectOne#,"(1.0438075924353558, 1.0653157474640975)"
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV2Benchmark.attach#,"(0.9166793174327591, 1.0472160169165505)"
jdbi__jdbi#org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals#,"(0.7728226368052242, 0.8048495215982614)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordBarabasiAlbert#m=500&m0=1000&numOfVertices=10000,"(0.8379339988720613, 0.8435052879694429)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordGnp#numOfVertices=10000&p=0.05,"(1.0654431447978931, 1.0721951396013578)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordWattsStogatz#k=1000&numOfVertices=10000&p=0.05,"(1.0382580048515004, 1.0462859970397287)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordWattsStogatz#k=100&numOfVertices=10000&p=0.5,"(0.9800343254019372, 0.9857230013914883)"
jgrapht__jgrapht#org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.PushRelabelMaximumFlowRandomGraphBenchmark.run#,"(1.0001015752525821, 1.0113428957907806)"
jgrapht__jgrapht#org.jgrapht.perf.flow.MaximumFlowAlgorithmPerformanceTest.EdmondsKarpMaximumFlowRandomGraphBenchmark.run#,"(1.0080484261982119, 1.0229052850841327)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testDijkstraGnm#edgeDegree=50&numOfVertices=10000,"(0.8843932425872565, 0.8877944031135047)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testBellmanFordComplete#numOfVertices=3000,"(1.0306036345809855, 1.0435953864102268)"
jgrapht__jgrapht#org.jgrapht.perf.shortestpath.DeltaSteppingShortestPathPerformance.testDijkstraComplete#numOfVertices=1000,"(1.1319128835606476, 1.1370038105870315)"
netty__netty#io.netty.microbench.headers.HeadersBenchmark.httpAddAllFast#exampleHeader=TWENTYTWO,"(0.9867792860630503, 1.0060262559835924)"
netty__netty#io.netty.microbenchmark.common.AppendableCharSequenceBenchmark.appendCheckBeforeCopy#charsInitSize=64&simulatedDataSize=10000,"(1.0913566737693536, 1.2104748243861108)"
netty__netty#io.netty.buffer.CompositeByteBufRandomAccessBenchmark.setGetLong#bufferType=SMALL_CHUNKS&size=1024000,"(0.9911760885203535, 1.0041826027844871)"
netty__netty#io.netty.microbench.buffer.ByteBufAllocatorBenchmark.defaultPooledDirectAllocAndFree#size=01024,"(0.9942508559393194, 0.9984110988013697)"
netty__netty#io.netty.microbench.internal.EscapeCsvBenchmark.escapeCsvOld#value=netty,"(1.0935669242121635, 1.2042927494357374)"
openzipkin__zipkin#zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT#,"(1.014260020778599, 1.0413043041738863)"
openzipkin__zipkin#zipkin2.SpanBenchmarks.padLeft_17Chars#,"(1.110552855364172, 1.2281461291869211)"
openzipkin__zipkin#zipkin2.EndpointBenchmarks.parseIpv4_addr#,"(1.028361664994666, 1.143083539178692)"
openzipkin__zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_localArray#,"(0.9520990103699671, 0.9564983881855751)"
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder#,"(0.9992300293674781, 1.0074257488773801)"
openzipkin__zipkin#zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3#,"(1.063294596334009, 1.0893269693387708)"
openzipkin__zipkin#zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData#,"(0.9786592199418327, 1.0262539730391342)"
openzipkin__zipkin#zipkin2.internal.ReadBufferBenchmarks.readLong_8arity#,"(0.9856041367526472, 0.9932793433663686)"
openzipkin__zipkin#zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32#,"(0.8694108014749373, 0.8745708891611429)"
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder#,"(0.9862429364414644, 0.9946371138874541)"
openzipkin__zipkin#zipkin2.SpanBenchmarks.buildClientSpan#,"(1.0310171527330496, 1.1388102860416198)"
openzipkin__zipkin#zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder#,"(0.9761478431659263, 0.9835210437559142)"
prestodb__presto#com.facebook.presto.geospatial.serde.BenchmarkJtsGeometrySerde.serializeComplexMultipoint#,"(1.021846660130466, 1.0358348744296495)"
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithFlatten#blockSize=10000&nestedLevel=4&numberOfIterations=1&reuseArrays=true,"(0.9868035898840013, 0.9927043122134701)"
prestodb__presto#com.facebook.presto.geospatial.serde.BenchmarkJtsGeometrySerde.serializeSimpleMultiLineString#,"(0.941117088258425, 1.040524325333104)"
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten#blockSize=1000000&nestedLevel=5&numberOfIterations=1000,"(1.0029221224415332, 1.0044640371688638)"
prestodb__presto#com.facebook.presto.operator.BenchmarkBlockFlattener.benchmarkWithoutFlatten#blockSize=1000000&nestedLevel=2&numberOfIterations=1000,"(0.9702863810686684, 0.9780798508259212)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark#,"(1.0144550443000246, 1.0170935512406993)"
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark#,"(0.9575635866907551, 0.9856270463729728)"
prometheus__client_java#io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark#,"(0.9754275604878493, 1.160565643344823)"
prometheus__client_java#io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark#,"(0.8080395191721809, 0.9684046626278225)"
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark#,"(1.002213373954804, 1.0052755218298164)"
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark#,"(1.0280682977772613, 1.0312652275654677)"
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark#,"(0.8298968532278794, 0.9617563885952101)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark#,"(1.0293407293004924, 1.0685786396831045)"
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark#,"(0.9664875531036486, 0.9699121093647208)"
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark#,"(0.9944091010079669, 0.9990855562749626)"
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark#,"(0.9390373123807326, 1.1167964652175526)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=100000,"(0.9749363284702258, 1.0066703792145122)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100000,"(0.9956269990033187, 1.0093805175910384)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1000,"(1.0011585859159773, 1.0477720685499592)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer#stringLength=1000,"(0.9737012360058496, 1.032882034346474)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=10000,"(1.0158221534422522, 1.035041295917567)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=100,"(0.9146401444179664, 1.0318727653375512)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000,"(0.993116320341949, 1.0180158445708138)"
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer#stringLength=1,"(0.8366615669905857, 1.206358534954792)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbc#resultSize=10,"(0.9978435407147738, 1.0291473595012064)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=1,"(1.0131084389930542, 1.049866086308328)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.simpleJdbc#,"(0.9927299049184942, 1.040653600668208)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StatementBenchmarks.parametrizedJdbc#,"(0.95030672775761, 0.9895788707283848)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=1,"(1.0084062054876073, 1.0372002340705335)"
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10,"(0.9632247296117084, 0.9973377333996639)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy#,"(0.9883754519885262, 1.0092103968840211)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#,"(0.9415458827167476, 1.013649724086782)"
raphw__byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist#,"(1.06854157160203, 2.318255383462986)"
raphw__byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib#,"(0.6669099935529496, 1.0648835927142228)"
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib#,"(0.985138182202717, 1.0161412303455668)"
raphw__byte-buddy#net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy#,"(1.0913511947940593, 1.7949463580595213)"
raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized#,"(0.9508460002759371, 0.9968475569117978)"
raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#,"(0.7862038021844023, 1.0494979322650744)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS3#NEED_TO_ENLARGE=1&SIZE=65536,"(0.9752756653053389, 0.9852605102960412)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertStringGdxOM2#NEED_TO_ENLARGE=2&SIZE=65536,"(1.0004897209887011, 1.0081158806682724)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS2#NEED_TO_ENLARGE=2&SIZE=65536,"(1.067377454390731, 1.1212852418817816)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap#NEED_TO_ENLARGE=1&SIZE=65536,"(1.0150944235081842, 1.0239777668052759)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap2#NEED_TO_ENLARGE=2&SIZE=65536,"(1.0035294998517625, 1.024948420982345)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerLinkedHashMap#NEED_TO_ENLARGE=0&SIZE=65536,"(1.0426342319496364, 1.090674416224156)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap2#NEED_TO_ENLARGE=2&SIZE=65536,"(1.001895745778713, 1.01155649082941)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidOS#NEED_TO_ENLARGE=1&SIZE=65536,"(0.9776713860972163, 1.00909677901262)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=0&SIZE=65536,"(1.002010478998363, 1.0422350166521606)"
yellowstonegames__SquidLib#squidpony.performance.RNGBenchmark.measureXoRoR#,"(0.9894176909081174, 0.9967505961618005)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertStringLinkedHashMap#NEED_TO_ENLARGE=0&SIZE=65536,"(1.025164065351937, 1.0338928471297626)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertStringSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536,"(0.981142207609023, 0.9897660824271649)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3#NEED_TO_ENLARGE=0&SIZE=65536,"(0.9760222672685253, 1.001615019167115)"
yellowstonegames__SquidLib#squidpony.performance.DataStructureBenchmark.insertIntegerSquidMildOM2#NEED_TO_ENLARGE=2&SIZE=65536,"(0.9854923580744493, 1.0033069173382514)"
zalando__logbook#org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType4#,"(0.9909107429998171, 0.9957621247300448)"
zalando__logbook#org.zalando.logbook.LogbookBenchmark.noop#,"(0.9910413280011311, 1.015779200321774)"
zalando__logbook#org.zalando.logbook.HeaderBenchmark.autoconfigurationResponse#,"(0.9714253680247796, 1.0297169597237859)"
zalando__logbook#org.zalando.logbook.HeaderBenchmark.replace2xRequest#,"(0.9860927159297453, 1.0498305249110924)"
zalando__logbook#org.zalando.logbook.LogbookBenchmark.plain#,"(0.9842571468195436, 0.9985149832669941)"
zalando__logbook#org.zalando.logbook.HeaderBenchmark.autoconfigurationRequest#,"(1.049106529941986, 1.1186788138690296)"
zalando__logbook#org.zalando.logbook.HeaderBenchmark.replace1xResponse#,"(1.0059534900841645, 1.112848781328085)"
zalando__logbook#org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType3#,"(1.1273731250620933, 1.1325157323987405)"
zalando__logbook#org.zalando.logbook.HeaderBenchmark.replace1xRequest#,"(0.9557856809045397, 1.0012848388995308)"
